Borough,Category,Measure (e.g Poverty Rate),Area,"Better = (Lower, Higher)",Measure Value,"Unit (%, pts)",London higher threshold,London,London lower threshold,England upper threshold,England,England lower threshold
Barking & Dagenham,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,24.6,%,20.2,16.4,11.82,,,
Barking & Dagenham,Work,Benefits,Out-of-work benefits,Lower,16.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Barking & Dagenham,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,42,%,39.38,33,23.75,38.82,31,23.18
Barking & Dagenham,Housing,Evictions,"Repossessions per 1,000 households",Lower,4.11,,3.39,2.42,1.39,2.51,1.51,0.51
Barking & Dagenham,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,66,%,76.8,71.2,65.65,70.97,65.4,59.83
Barking & Dagenham,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.66,,1.34,0.93,0.5,,,
Barking & Dagenham,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,36.5,%,56.13,46.4,35.48,35.22,24.9,14.58
Barking & Dagenham,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,613,,635.95,353,92.93,,,
Barking & Dagenham,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,1.9,,1.49,1,0.67,1.21,0.8,0.39
Barking & Dagenham,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,4.6,,4.51,3.3,2.15,4.88,3.7,2.52
Barking & Dagenham,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,12,%,7.82,6.7,3.95,9.34,7.4,5.46
Barking & Dagenham,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.05,,2.59,2.5,2.32,1.85,1.72,1.59
Barking & Dagenham,Living standards,Poverty rate,Poverty rate,Lower,29,%,34.5,25,19.38,29.76,22.2,14.64
Barking & Dagenham,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,433,,362.71,309,265.54,390.59,342,293.41
Barking & Dagenham,People,Qualifications at 19,19 year olds without level 3 qualifications,Lower,34.7,%,34.12,28.8,23.88,39.72,34.6,29.48
Barking & Dagenham,Housing,Rough sleeping,People seen sleeping rough by outreach,Lower,139,,489.32,219,139.87,,,
Barking & Dagenham,Housing,Temporary accommodation,"Households in temporary accommodation per 1,000",Lower,16.08,,25.61,16.62,6.51,13.94,4.39,-5.16
Barking & Dagenham,Work,Unemployment rate,Unemployment rate,Lower,6.8,%,5.77,5,4.27,4.45,3.7,2.95
Barking & Dagenham,Work,Unemployment rate change,Unemployment rate 1 year change,Lower,1.9,pts,2.01,0.6,-0.66,1.44,0.1,-1.24
Barnet,Work,Low pay (resident),Proportion of borough residents' jobs that are low paid,Lower,18.9,%,20.2,16.4,11.82,,,
Barnet,Work,Benefits,Out-of-work benefits,Lower,11.7,%,15.19,12.8,10.02,15.68,13.1,10.52
Barnet,Living standards,Child poverty rate,Child poverty rate (AHC),Lower,25,%,39.38,33,23.75,38.82,31,23.18
Barnet,Housing,Evictions,"Repossessions per 1,000 households",Lower,2.09,,3.39,2.42,1.39,2.51,1.51,0.51
Barnet,Shared opportunity,GCSE attainment,Percentage of pupils who achieved grade 9-4,Higher,80.1,%,76.8,71.2,65.65,70.97,65.4,59.83
Barnet,Housing,Homeless acceptances,"Main homelessness duty owed per 1,000 households",Lower,0.5,,1.34,0.93,0.5,,,
Barnet,Housing,Housing affordability,Median rent as a percentage of median pay,Lower,43.1,%,56.13,46.4,35.48,35.22,24.9,14.58
Barnet,Housing,Housing delivery,"Average net affordable, social and discounted housing completions",Higher,338,,635.95,353,92.93,,,
Barnet,Living standards,Income deprivation,Income deprivation (relative to London overall),Lower,0.77,,1.49,1,0.67,1.21,0.8,0.39
Barnet,People,Infant mortality,"Infant mortality rate per 1,000 live births",Lower,3.6,,4.51,3.3,2.15,4.88,3.7,2.52
Barnet,Shared opportunity,No qualifications,Proportion with no qualifications,Lower,6.9,%,7.82,6.7,3.95,9.34,7.4,5.46
Barnet,Living standards,Pay inequality,80:20 ratio of earnings,Lower,2.41,,2.59,2.5,2.32,1.85,1.72,1.59
Barnet,Living standards,Poverty rate,Poverty rate,Lower,26,%,34.5,25,19.38,29.76,22.2,14.64
Barnet,People,Premature mortality,"Deaths of <75 year olds per 100,000",Lower,258,,362.71,309,265.54,390.59,342,293.41
